Airplane_Name,Fleet_Size,Headquarters,Founded,Destinations,Website
Southwest Airlines,751,"Dallas, Texas, U.S.","March 15, 1967",99,https://www.southwest.com
JetBlue,253,"Brewster Building, Long Island City, New York, United States",Aug-99,102,https://www.jetblue.com/
Delta Air Lines,876,"Atlanta, Georgia, U.S.",30-May-24,325,https://www.delta.com/
Hawaiian Airlines,55,"Honolulu, Hawaii, United States",06-Oct-29,28,http://www.hawaiianairlines.com/ 
Alaska Airlines,330,"SeaTac, Washington",1932,116,https://www.alaskaair.com
"American Airlines, Inc.",957,"CentrePort, Fort Worth, Texas, United States",15-Apr-26,350,www.aa.com
Allegiant Air,84,"Summerlin, Nevada",Jan-97,121,http://www.allegiantair.com/
"United Airlines, Inc.",763,"Willis Tower, Chicago, Illinois, U.S.",06-Apr-26,342,https://www.united.com
Virgin America,67,"Burlingame, California",26-Jan-04,30,http://www.alaskaair.com/
Frontier Airlines,83,"Denver Denver, Colorado",08-Feb-94,103,http://www.flyfrontier.com/
